GLACIAL ICE,RED,EAE9E7,234,233,231,40,0.0666666666666664,0.911764705882353
GRAY WHISPER,RED,E6E4E4,230,228,228,0,0.0384615384615383,0.898039215686275
SILVER SCREEN,RED,E0DDDD,224,221,221,0,0.046153846153846,0.872549019607843
JACK RABBIT,RED,C0B2B1,192,178,177,4,0.106382978723404,0.723529411764706
GRAY VIOLET,RED,9B8E8E,155,142,142,0,0.0610328638497652,0.582352941176471
EAGLE EYE,RED,736665,115,102,101,4,0.0648148148148149,0.423529411764706
BLACK WALNUT,RED,554747,85,71,71,0,0.0897435897435897,0.305882352941177
WARMSTONE,RED,E6D7CC,230,215,204,25,0.342105263157895,0.850980392156863
SUBDUED,RED,CCB8B3,204,184,179,12,0.196850393700788,0.750980392156863
HELIOTROPE,RED,A49491,164,148,145,9,0.0945273631840797,0.605882352941177
GRANITE BOULDER,RED,816F6B,129,111,107,11,0.0932203389830508,0.462745098039216
MUSTANG,RED,5E4A47,94,74,71,8,0.139393939393939,0.323529411764706
BERRY FROST,RED,EBDED7,235,222,215,21,0.333333333333333,0.882352941176471
BLOSSOM PINK,RED,E6D5CE,230,213,206,18,0.324324324324324,0.854901960784314
CHEERFUL HEART,RED,DCC7C0,220,199,192,15,0.285714285714286,0.807843137254902
FOREVER FAIRYTALE,RED,D2BBB2,210,187,178,17,0.262295081967213,0.76078431372549
IRIS MAUVE,RED,B39B94,179,155,148,14,0.169398907103825,0.641176470588235
WOODCHUCK,RED,8E746C,142,116,108,14,0.136,0.490196078431373
SPICED WINE,RED,664942,102,73,66,12,0.214285714285714,0.329411764705882
TOUCHABLE,RED,ECDFD8,236,223,216,21,0.344827586206897,0.886274509803922
FIRST KISS,RED,D9CAC3,217,202,195,19,0.224489795918367,0.807843137254902
FOND MEMORY,RED,C8BCB7,200,188,183,18,0.133858267716535,0.750980392156863
RIVETER ROSE,RED,B7A9A2,183,169,162,20,0.127272727272727,0.676470588235294
CINNAMON TOAST,RED,8D7D77,141,125,119,16,0.088,0.509803921568627
BOLD BRANDY,RED,796660,121,102,96,14,0.115207373271889,0.425490196078431
CHOCOLATE PRETZEL,RED,60504B,96,80,75,14,0.12280701754386,0.335294117647059
STEEL ME,RED,DDD5CE,221,213,206,28,0.180722891566265,0.837254901960784
MY ALIBI,RED,D4CBC4,212,203,196,26,0.156862745098039,0.8
WINTER'S NAP,RED,A99F97,169,159,151,27,0.0947368421052631,0.627450980392157
TALAVERA,RED,A0928B,160,146,139,20,0.0995260663507109,0.586274509803922
FLIPPER,RED,7F726B,127,114,107,21,0.0854700854700855,0.458823529411765
TOASTED MARSHMALLOW,RED,EAE1D6,234,225,214,33,0.32258064516129,0.87843137254902
IN THE BUFF,RED,D6CBBF,214,203,191,31,0.219047619047619,0.794117647058824
LEGENDARY,RED,C6BAAF,198,186,175,29,0.167883211678832,0.731372549019608
SIMMERING SMOKE,RED,A99F96,169,159,150,28,0.0994764397905758,0.625490196078431
WILD WILDERNESS,RED,91857C,145,133,124,26,0.0871369294605809,0.527450980392157
TATTLE TAIL,RED,80736A,128,115,106,25,0.094017094017094,0.458823529411765
INTRIGUE,RED,635951,99,89,81,27,0.1,0.352941176470588
MAYBE MUSHROOM,RED,E2D8CB,226,216,203,34,0.283950617283951,0.841176470588235
WHIPPET,RED,CEC1B5,206,193,181,29,0.203252032520325,0.758823529411765
EL CAPITAN,RED,B7A696,183,166,150,29,0.186440677966102,0.652941176470588
EARL GRAY,RED,A6978A,166,151,138,28,0.135922330097087,0.596078431372549
WICKER BASKET,RED,847567,132,117,103,29,0.123404255319149,0.46078431372549
MONKEY MADNESS,RED,63584C,99,88,76,31,0.131428571428571,0.343137254901961
FOREVER FAITHFUL,RED,EFE6E1,239,230,225,21,0.304347826086957,0.909803921568627
LOST LOVE,RED,E5D7D4,229,215,212,11,0.246376811594203,0.864705882352941
JUST GORGEOUS,RED,D6C4C1,214,196,193,9,0.203883495145631,0.798039215686275
ANCESTRAL,RED,D0C1C3,208,193,195,352,0.137614678899083,0.786274509803922
COFFEE CUSTARD,RED,AB9B9C,171,155,156,356,0.0869565217391304,0.63921568627451
CHOO CHOO,RED,867578,134,117,120,349,0.0677290836653387,0.492156862745098
CAROB CHIP,RED,5A484B,90,72,75,350,0.111111111111111,0.317647058823529
SNOWY MOUNT,RED,F1EEEB,241,238,235,30,0.176470588235294,0.933333333333333
SWEET BIANCA,RED,EEDADD,238,218,221,351,0.370370370370371,0.894117647058824
NOSTALGIA,RED,D6B8BD,214,184,189,350,0.267857142857143,0.780392156862745
LIGHTHEARTED ROSE,RED,C7A1A9,199,161,169,347,0.253333333333333,0.705882352941176
MAUVE MADNESS,RED,AA7982,170,121,130,349,0.223744292237443,0.570588235294118
CABERNET,RED,8E5B68,142,91,104,345,0.218884120171674,0.456862745098039
RED RED WINE,RED,71424A,113,66,74,350,0.262569832402235,0.350980392156863
BARE PINK,RED,F2E7E7,242,231,231,0,0.297297297297297,0.927450980392157
PINK PAIL,RED,EACED4,234,206,212,347,0.4,0.862745098039216
LOVE IN A MIST,RED,E1B9C2,225,185,194,347,0.4,0.803921568627451
MADAGASCAR PINK,RED,D194A1,209,148,161,347,0.398692810457516,0.7
BRIAR ROSE,RED,C07281,192,114,129,348,0.382352941176471,0.6
HEART'S CONTENT,RED,A9586C,169,88,108,345,0.320158102766798,0.503921568627451
MAGENTA,RED,953D55,149,61,85,344,0.419047619047619,0.411764705882353
COZY COTTAGE,RED,F2DDD8,242,221,216,12,0.5,0.898039215686274
PINK CARDOON,RED,ECC9CA,236,201,202,358,0.479452054794521,0.856862745098039
STRAWBERRY MOUSSE,RED,E9B3B4,233,179,180,359,0.551020408163265,0.807843137254902
PINK CLAY POT,RED,D99294,217,146,148,358,0.482993197278912,0.711764705882353
CRANBERRY,RED,C27277,194,114,119,356,0.396039603960396,0.603921568627451
GRENADINE,RED,AC545E,172,84,94,353,0.346456692913386,0.501960784313726
APPLE,RED,903F45,144,63,69,356,0.391304347826087,0.405882352941176
GINGER CREAM,RED,EFE0D7,239,224,215,23,0.428571428571429,0.890196078431373
